t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,100.0,0.0,0.0,0.0,16.0,0.0,180.0,37.94,0.0
30.0,97.0,0.082401,0.0,0.0,19.0694,0.0,180.0,1.216,4.45059
32.0,96.0,0.126619,0.0,0.0,20.9917,0.0,180.0,1.892,7.14905
34.0,94.0,0.175496,0.0,0.0,23.1186,0.0,180.0,1.573,10.0997
36.0,92.0,0.219235,0.0,0.0,25.7368,0.0,180.0,1.769,13.6449
38.0,91.0,0.263447,0.0,0.0,27.6169,0.0,180.0,1.712,16.2736
40.0,92.0,0.236091,0.0,0.0,26.659,0.0,180.0,0.334,14.7123
42.0,92.0,0.228504,0.0,0.0,26.4379,0.0,180.0,0.442,14.0183
44.0,93.0,0.195774,0.0,0.0,24.3162,0.0,180.0,0.88,11.4983
46.0,95.0,0.130302,0.0,0.0,21.7241,0.0,180.0,1.757,7.95845
48.0,97.0,0.097517,0.0,0.0,19.8463,0.0,180.0,1.723,5.28231
