t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.022373,0.024745,0.02414,57.3496,12.9719,311.008,23.834,0.651476
32.0,0.0,0.055323,0.053395,0.04906,57.9288,12.8889,311.047,0.493,1.43938
34.0,0.0,0.087879,0.070018,0.065597,58.3224,12.8179,310.983,0.375,2.05868
36.0,0.0,0.100164,0.088634,0.082445,58.69,12.7773,311.007,0.291,2.62358
38.0,0.0,0.100164,0.088634,0.082445,58.69,12.7773,311.007,0.145,2.62358
40.0,0.0,0.105671,0.089826,0.082692,58.6863,12.7805,311.011,0.003,2.62455
42.0,0.0,0.078259,0.070712,0.06152,58.2598,12.8458,311.071,0.173,1.93045
44.0,0.0,0.051126,0.047661,0.038361,57.7513,12.9057,311.059,0.352,1.2259
46.0,0.0,0.013025,0.0,0.0,57.1455,13.0,311.0,0.35,0.344479
48.0,0.0,0.0,0.0,0.0,57.0,13.0,311.0,0.061,0.0
