t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.535808,0.598968,0.591033,121.719,108.229,188.697,0.39,5.72979
30.0,0.0,0.053567,0.051511,0.047089,58.6666,12.8931,310.969,23.767,2.8629
32.0,0.0,0.102216,0.086585,0.08899,60.5203,12.7708,311.005,2.035,5.75493
34.0,0.0,0.157551,0.130514,0.12083,62.7814,12.6,311.125,1.562,9.1975
36.0,0.0,0.186606,0.139667,0.137475,63.9308,12.5494,311.072,1.273,11.067
38.0,0.0,0.233594,0.178151,0.172971,66.2089,12.3613,310.979,1.339,14.6422
40.0,0.0,0.231747,0.177603,0.176002,66.3047,12.3101,310.886,0.893,14.5151
42.0,0.0,0.231252,0.166186,0.166179,65.2602,12.4666,311.104,0.395,12.9223
44.0,0.0,0.19959,0.14679,0.135665,63.81,12.5208,311.18,0.942,10.7404
46.0,0.0,0.175572,0.120718,0.119316,62.6661,12.6017,310.967,0.95,8.68569
48.0,0.0,0.106789,0.082741,0.079193,60.3395,12.7613,311.033,1.354,5.26644
