t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,99.0,0.022879,0.0,0.0,16.5065,0.0,180.0,37.783,0.872344
30.0,98.0,0.064346,0.0,0.0,17.3597,0.0,180.0,0.715,2.15215
32.0,97.0,0.092131,0.0,0.0,17.913,0.0,180.0,0.545,3.04748
34.0,97.0,0.106846,0.0,0.0,18.4531,0.0,180.0,0.419,3.84514
36.0,97.0,0.106846,0.0,0.0,18.4531,0.0,180.0,0.21,3.84514
38.0,97.0,0.106697,0.0,0.0,18.4516,0.0,180.0,0.0,3.86516
40.0,97.0,0.079586,0.0,0.0,17.8267,0.0,180.0,0.251,2.82948
42.0,98.0,0.057735,0.0,0.0,17.0993,0.0,180.0,0.511,1.74941
44.0,99.0,0.024262,0.0,0.0,16.2258,0.0,180.0,0.507,0.400313
46.0,100.0,0.0,0.0,0.0,16.0,0.0,180.0,0.091,0.0
48.0,100.0,0.0,0.0,0.0,16.0,0.0,180.0,0.0,0.0
