t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,51.0,0.44373,0.529114,0.527585,48.7905,43.0872,189.239,25.629,2.61066
30.0,49.0,0.516582,0.586757,0.587099,52.6972,42.066,188.571,3.712,6.37215
32.0,49.0,0.536512,0.608807,0.603497,52.9377,41.9307,188.067,1.654,8.55764
34.0,48.0,0.561812,0.627524,0.621123,55.7012,41.3649,188.623,1.715,11.6905
36.0,46.0,0.579255,0.643209,0.638969,57.6034,41.0674,188.363,1.478,13.8532
38.0,47.0,0.600395,0.654892,0.650861,58.5543,40.7582,189.055,0.403,15.949
40.0,47.0,0.5869,0.656353,0.651335,58.1544,40.7331,188.82,0.245,16.0746
42.0,47.0,0.604767,0.647824,0.642474,58.9263,40.7009,188.529,0.34,15.4254
44.0,48.0,0.574398,0.635394,0.633018,57.8641,41.0963,187.523,0.007,14.8651
46.0,47.0,0.576828,0.623747,0.62412,57.247,41.2082,188.887,0.183,13.334
48.0,46.0,0.544401,0.60218,0.594994,55.9785,41.6965,188.032,0.732,10.9694
