t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.544703,0.612356,0.609593,121.942,107.842,189.451,0.069,5.32974
28.0,49.0,0.50543,0.580985,0.569792,51.3025,42.4951,188.81,24.803,5.09595
30.0,48.0,0.535399,0.620361,0.60337,53.2101,42.1224,189.001,4.817,7.79481
32.0,48.0,0.550489,0.610871,0.607006,54.8443,41.5744,187.956,1.647,10.461
34.0,48.0,0.576088,0.642785,0.634576,55.992,41.2594,188.936,1.559,12.5344
36.0,47.0,0.59163,0.646014,0.633642,58.0514,40.7919,188.585,1.063,14.9602
38.0,46.0,0.614923,0.650757,0.636498,59.582,40.7467,189.165,0.766,16.421
40.0,47.0,0.609966,0.64051,0.638571,59.573,40.5853,188.895,0.201,16.0009
42.0,47.0,0.596031,0.639429,0.637095,58.7085,40.9458,189.12,0.627,14.7362
44.0,47.0,0.592323,0.628155,0.638591,57.9814,41.0003,188.929,0.145,14.3878
46.0,47.0,0.569662,0.621908,0.61589,56.2043,41.5328,189.258,0.322,12.0486
48.0,48.0,0.554958,0.605998,0.603472,54.7639,41.8442,188.292,1.108,9.91337
