t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.543033,0.61149,0.603687,121.827,108.04,189.747,0.782,6.05316
32.0,0.0,0.0,0.0,0.0,57.0,13.0,311.0,23.324,0.0
34.0,0.0,0.04627,0.037346,0.038692,57.7188,12.9126,310.981,0.292,1.33523
36.0,0.0,0.079447,0.062677,0.06085,58.3171,12.8415,311.047,0.492,2.08146
38.0,0.0,0.10223,0.08121,0.081442,58.6857,12.7833,311.033,0.375,2.61937
40.0,0.0,0.10223,0.08121,0.081442,58.6857,12.7833,311.033,0.15,2.61937
42.0,0.0,0.10223,0.08121,0.081442,58.6857,12.7833,311.033,0.0,2.61937
44.0,0.0,0.079131,0.063857,0.063995,58.2577,12.8306,311.04,0.173,1.9209
46.0,0.0,0.048292,0.043846,0.044348,57.7538,12.9006,311.04,0.354,1.18347
48.0,0.0,0.031207,0.028873,0.025306,57.3633,12.9512,311.042,0.343,0.567882
