t,pblack,entY,entU,entV,yavg,satavg,hueavg,scd,edge
0.0,0.0,0.52948,0.596155,0.587382,120.78,108.87,190.01,0.0,5.21505
2.0,0.0,0.539534,0.615916,0.605274,122.064,107.835,189.42,3.447,5.47198
4.0,0.0,0.523768,0.589081,0.581158,121.373,108.241,188.944,0.55,5.78507
6.0,0.0,0.553649,0.622137,0.611362,121.915,107.913,189.355,0.728,6.05687
8.0,0.0,0.529539,0.584041,0.580929,122.707,108.256,188.811,0.13,5.84752
10.0,0.0,0.556618,0.612731,0.608804,121.939,107.964,189.903,0.791,5.85427
12.0,0.0,0.529381,0.587607,0.592964,121.326,108.326,189.355,0.619,5.91986
14.0,0.0,0.546576,0.607683,0.602436,122.008,107.952,189.47,0.106,5.58264
16.0,0.0,0.52213,0.584026,0.579853,121.46,108.53,188.718,0.38,5.15092
18.0,0.0,0.550772,0.617431,0.606335,121.867,107.914,189.442,0.552,6.00425
20.0,0.0,0.527328,0.581333,0.577068,122.465,108.283,188.492,0.343,5.86668
22.0,0.0,0.551217,0.617279,0.609065,121.677,108.066,189.482,0.806,5.69491
24.0,0.0,0.52471,0.583647,0.584945,120.901,108.393,189.29,0.645,5.74106
26.0,0.0,0.542479,0.611839,0.609622,121.94,107.856,189.445,0.069,5.35583
28.0,0.0,0.531285,0.59146,0.584799,121.698,108.199,188.712,0.39,5.65405
30.0,0.0,0.548243,0.614686,0.606875,121.819,108.044,189.732,0.784,6.17861
32.0,0.0,0.040179,0.036763,0.035268,58.1423,12.9338,311.04,23.176,1.94339
34.0,0.0,0.098409,0.082782,0.080701,60.5116,12.7552,311.051,1.816,5.47509
36.0,0.0,0.129648,0.113294,0.113852,61.6169,12.6847,310.973,1.32,7.53241
38.0,0.0,0.172205,0.147686,0.142277,63.7894,12.5308,311.051,1.251,10.8785
40.0,0.0,0.22363,0.18081,0.166192,65.8361,12.4315,311.145,1.615,14.1107
42.0,0.0,0.226519,0.178722,0.168991,65.9307,12.3644,311.16,0.824,14.0658
44.0,0.0,0.215165,0.168017,0.157436,65.2012,12.4316,311.093,0.269,12.8623
46.0,0.0,0.209932,0.165616,0.161745,64.9473,12.4408,311.021,0.373,12.2926
48.0,0.0,0.168565,0.1317,0.124793,62.763,12.6035,310.962,0.912,9.04974
